,text,topic
342,"based on the german film wings of desire ( that being the english title , of course ) , city of angels is ninety percent success , enough to make most people forgive its shortcomings , even the devastatingly disappointing ending .",movie
45564,and the daughter does exactly what any woman in her position would do : she cries .,movie
34038,""" bully "" aims for truth , exploits it shamelessly , then bludgeons it to death .",movie
48754,"new line cinema spent millions of dollars creating the expressionistic film noir visuals and paying the actors , and doesn't have any way to get it back .",movie
45473,"however , the action in "" tomb raider "" shows little style or originality .",movie
26096,"derek finds himself truly alone , truly in danger , and truly afraid .",movie
3715,"even if you have no idea who mel gibson is , rocky remains an interesting character .",movie
25539,perhaps it makes us appreciate this wonderful film even more .,movie
44032,there is no suspense because the film refuses to be fully about the murders and little involving drama because the film is too muddled and its focus too vague .,movie
29420,one practically breaks out in sweat staring at the screen .,movie
18441,music and lyrics by stephn trask .,movie
62064,"bottom line : when you're stealing christmas ( movies ) , leave this one behind .",movie
36073,"a line of students is outside at night , peering through telescopes at the dark sky above .",movie
46960,"imagine with me , if you will , _scream_'s jamie kennedy , explaining the "" rules "" for sequels like babe 2 .",movie
43849,"at one point , smith defies gravity when first boarding kline's train .",movie
56440,there was one scene that should have been short . . .,movie
27646,"nonetheless , perry is hilarious here , and shows that he can handle drama , as obviously , his character suffers quite a bit here .",movie
12117,"his counterpart for this scam is jerome morrow ( jude law ) , an ex-athlete left paralyzed in an accident and confined to a wheelchair for life .",movie
23720,"pam's final scene takes place at the edge of the suburbs , where wild bushes grow -- symbolically the frontier , the outer limits of her society , but also quite literally the end of the road , where there is nowhere left to go but to the final tragic denouement .",movie
29978,"a great looking picture with a nice jazzy score , some funny one-liners , especially in the second half , a decent plotline , although you shouldn't expect a real mystery or anything , and some solid acting all around .",movie
59275,"watching these two made me wish that the movie had been made twenty years ago , with dan akroyd and john belushi as the leads - now that would have been something to see .",movie
5393,"this story is about a 4th network , wbn , taking to america's airwaves in 1939 .",movie
60336,"setting the main plot in motion , mrs . hogget and babe travel to the unnamed city and shack up with a sweet lady who just happens to love to help animals , despite the law that you cannot keep them in hotels .",movie
61470,"howewer , the latest segal picture didn't look that bad , and since none of my friends would go see a woody allen movie even if i paid them , i went to see it expecting a mild die hard rehash .",movie
34350,"from that moment on , it's all downhill .",movie
20763,"acting : as in many comedies , the acting isn't really * that * important .",movie
55518,"playing god asks just one simple , eensy , teensy thing so it can fully entertain you , it's accomplished in just four easy to follow steps : crack open your skull , scoop out your brain , squish it under your foot several times and reverse steps two and one .",movie
11265,"teaming up with the russian government , he orders a strike force capture of alexander radek , a reactionary general ready to re-unite the soviet union under his fascist reign .",movie
26983,"verhoeven got his first oscar nomination in 1971 , and in the last quarter-century has pushed farther and farther , experimenting with the socially-acceptable limits to movie-making .",movie
12079,"in my opinion one of the best films of the last few years is istvan szabo's sunshine , a film that covers the fortunes of a jewish hungarian family under the reigns of three different regimes , hungarian aristocrats , nazis , and communists .",movie
2826,"and needless to say , i must say that emmanuelle beart , herself , is beautiful .",movie
43987,""" mystery science theater 3000 "" has skewered the bad films of the past , but let me tell you , it could do a number on the "" good "" ones too .",movie
63915,a disjointed pacing of key scenes and a time structure so confusing that it would throw steve prefontaine off .,movie
18537,"i've neither read the book nor seen the movie , but i understand that the filmmakers changed some details .",movie
45505,"set in new mexican dessert , he switches between bright golden sunrises and bloody sundowns , symbolically illustrating the good and the evil through light and darkness .",movie
25628,this is also perceptible in the conversations between col . nicholson and col . saito .,movie
3116,the women are underused .,movie
8604,the cops won't lift a finger to help a liberal attorney .,movie
48790,"dark city has not one bit of intrigue , moral ambiguity , suspense , or anything else that keeps us coming back to the noir classics .",movie
32597,"patrick is the son of senator ross ( james cromwell ) , who just wants patrick to succeed .",movie
10919,"although it has its flaws , alien 3 is highly entertaining with rich symbolism .",movie
43842,"branagh goes excessively over the top as the villain , perhaps to the point where we can't even stand to look at him or his strange beard .",movie
31988,">from this point on , the boy is raised as the reincarnation of the lama's spirit and the future leader of a nation .",movie
50773,ancient and deadly .,movie
43186,"in fact , if it wasn't for brittany murphy's excellent portrayal of a traumatized teen , jennifer esposito's embarrassing performance as a police woman ( yeah , right !",movie
35997,sound confusing ?,movie
29096,you kind of expect an adventure flick about a crime fighter who can shoot laser beams from his fingertips .,movie
38058,"and , having seen tarzan and the lost city , i would argue that the movie-going public would have been well served if he had missed by 12 .",movie
64441,"a young ayla , looking much like drew barrymore in e . t . ,",movie
37680,mr . banderas is uncharacteristically non-charismatic as caesar .,movie
18797,i am of the potentially controversial opinion that the figures only supplement the scene's mystical atmosphere .,movie
49939,"meanwhile , macleane falls in love with rebecca infuriating the businesslike plunkett , who doesn't want his plans to be foiled by his partner's mindless romantic travails .",movie
6657,"she changes , too , from a girl in crush to a woman with divided loyalties .",movie
2120,the sixth sense has more in common with ghost than poltergeist .,movie
62020,"that wouldn't be so bad , if the characters had an ounce of subtlety or humanity to them .",movie
68,"it's overly sentimental and at times terribly mushy , not to mention very manipulative .",movie
11998,"altough , non-fans will only fail to understand certain emotions behind the looks many characters exchange .",movie
12864,"kids won't care about most of the special features on this dvd , but those of us who can sometimes be turned into a "" kid at heart "" thanks to a winning family film sure appreciate them .",movie
18038,"in the end , he is successful and everyone made it back home alive , only to be swallowed up by the ravages of the war .",movie
3203,"and , whatever you do , don't walk out on the film before the end credits have begun to roll .",movie
45387,"a more accurate comparison would be with carrot top in chairman of the board , a film which , unfortunately , this one resembles in several hideous ways .",movie
30134,perhaps that alone gives us hope for the future .,movie
48332,then some characters have sex .,movie
37715,"the reality is that after 15 minutes of watching this picture , you know exactly what's going to happen , despite rather pathetic attempts in the screenplay to throw in plot twists .",movie
31756,there are also multiple trailers for upcoming troma films .,movie
17890,"as long as it isn't held to the standard that sixth sense set ( which it ultimately will be ) , it should be a remarkably well liked film .",movie
58399,and this worked for him .,movie
15779,"yet , he's not without quirks : blade drives a battered muscle car and has to glean rolex watches from his vampire victims in order to stay solvent .",movie
36941,"in a sense , that's half of the basic problem with "" switchback . """,movie
41214,""" insurrection , "" is the type of "" safe "" sequel that will bewilder non-fans , since it is so low-tech compared to most of today's blockbuster action films ( although most of these are honestly not very good , either ) , and should disappoint the loyal trekkies , since it could have easily been better if the makers had realized that the screenplay needed to go through a few more drafts .",movie
45102,the catch - nathan only has until five o'clock to solve the puzzle !,movie
32422,"i wish i could say that there is something more to the new star wars installment than what you see in the commercials , but there isn't .",movie
37088,"the plot is a joke , feeling like it was pasted together by someone in post-production who dropped each scene on the floor and pasted them together quickly so it could be released on time .",movie
4103,george clooney is a real movie star .,movie
44878,it should have been a classic .,movie
57088,populating this bad tv-movie-of-the-week material are a host of talented actors .,movie
16298,"occasionally a good funny movie sneaks past the deadening hollywood preconceptions of humor and we get a real gem : ruthless people , for instance , which established a microcosm of a setup and played it out to the bitter end .",movie
29108,"veteran stage actress joan copeland takes the part and runs with it , almost stealing the movie in the process .",movie
63324,all style and no substance .,movie
62936,the filmmakers must have realized that there wasn't much entertainment to the story and thought they could dazzle the audience with humorous period allusions .,movie
37736,"if he had played the character straight , along the lines of leslie nielson in the "" naked gun "" series , he probably would have been a lot more successful .",movie
46899,big mistake .,movie
47865,"the gen-y actress , with her cold stare and big , black eyes , has appeared in an impressive range of films ; but she doesn't even come close to being the bold heroine the film , set against the historical backdrop of world war 2 , requires her to be .",movie
30417,"charles' birthday is the same day , and he receives a gold watch from his wife , and a pocket knife from bob .",movie
25126,i liked howard morris the best as howard the accountant who has to diet to support his wife .,movie
55823,"it has some sort of x-ray vision , so its user can target the victim's heart even from great distances .",movie
27812,"like "" the critic "" ( which aired on abc , then fox ) , i still mourn that show's cancellation .",movie
33744,you suddenly feel like a doomed character straight out of scanners .,movie
19007,dr . nookey returns with the drug to england and sets up a new slimming business with ellen moore's financial backing .,movie
25827,"take the spectacular opening scene , for instance , in which a meteor shower obliterates new york .",movie
57711,yawn .,movie
47985,"but despite this setting , these details and a soundtrack that includes some 40-plus irresistible hits from the early days of the me decade , something is inherently wrong with "" 200 cigarettes . """,movie
8997,their interpretation of the bible based solely on the pictures and their own experiences is poignant .,movie
35390,""" virus , "" in comparison , is a servicable thriller , well-made and produced , but since it doesn't include one moment of even remote originality or intelligence , it sinks under the weight of the water that the film was shot on .",movie
54756,van sant has made a boring film .,movie
30810,"the main idea -- that he can appear as anyone , in any form ( in this case , a buisness man ) , harkens mainly back to terry gilliam's the time bandits .",movie
28341,"in my opinion , it is worth full-price admission .",movie
271,"but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) .",movie
49299,the big hit is an action film that unknowingly spoofs itself in trying to be funny .,movie
51544,one wonders if anyone ever viewed the film's dailies .,movie
16488,there are even a couple scenes which just stick out afterwards as being brilliantly executed .,movie
4413,"the dialogue is sharp and not filled with sappy overtones , even with the romantic nature of the plot .",movie
31471,tensions mount and distrust build among the rest as they watch their chance for the bonus start to slip away .,movie
45066,"it's actually not so bad that dreamworks decided to release the love letter at about the same time as star wars episode i : the phantom menace , because this way less people will have to sit through this dreadful little comedy .",movie
15684,and who to better play a bewildered person than keanu reeves ?,movie
45285,"in red corner gere plays classy lawyer jack moore , who is guilty of the same personality traits as his character martin vail in primal fear  bold and up front , who thinks he is three steps ahead of everybody else but is actually two steps behind .",movie
6871,there are a variety of different very memorable set pieces that will stay with me forever .,movie
38949,"it is for this film that he will be remembered , while all his other failures will be forgotten .",movie
59724,"any way you slice it , it is a bad situation for kids , and the makers of bye bye love mostly go for the heartstrings when dealing with the single parenting issue .",movie
49282,"then , somewhere in between , it turns back into comedy .",movie
30626,unexpected because the first film wasn't much more than a demonstration of special effects .,movie
14667,"for creepy crawly goodness , tight t-shirts , major firepower and the need to go to the bathroom every fifteen minutes from seing all that water .",movie
13173,"but you won't spend much time dwelling on those gaffes -- as soon as you catch one , the next stellar monster or effect will have you muttering , "" wow . . . """,movie
33306,"one problem is that , in reality , most eastern films have taken their lead from western ones .",movie
40689,"the movie offers only two explanations , neither of which make a lick of sense .",movie
28923,"they laugh , spend free time together , and reprimand the kids for innocent wrongs with a sigh and soft pat on the shoulder .",movie
36141,"her character is made stronger by leoni's presence , and we grow to care for her .",movie
14743,"one more topic of heated discussion : i saw the "" austin powers "" version , and to be perfectly frank , unless you know where the overlays are supposed to be , you'll probably not see them .",movie
43119,the story of the studio is tragedy in itself : let's look at how it all affected the people .,movie
26530,"but then there's the gags and one-liners that , although are humorous , seem a little gratuitious in the long run such as motss not being able to remember the actress's name , or , whenever a problem emerges , always responding with , "" this is nothing ! """,movie
47497,i just wish that dina meyer would be cast in more roles or at least choose better films to appear in .,movie
3828,although the thing that sets this movie apart from all others is definitely its incredible ape make-up jobs and characterizations .,movie
4082,so it's only natural that leder would get to direct her very own hollywood blockbuster .,movie
25255,quiz show is also very precise when it comes to explicating the true events that inspired the film .,movie
41765,because he's done it again .,movie
46787,one example is when ulrich ( an employee at `darlene's diner' ) is at the counter when brynner walks through the door .,movie
32656,"the moment when he touches the glass separating henstridge from him was extremely well done , due to the couple's acting .",movie
13343,"( editorial ) the director of this film , juzo itami , died shortly after the film was finished , and he left behind a legacy of comedy and satire that is rare , and uncompromising .",movie
59796,""" how can a movie have guest stars ? """,movie
56738,"in 1984 lynch stated his intention to release his own special edition "" director's cut "" of the film on home video , a clear indication of his dissatisfaction with the version that ended up in the theatres .",movie
779,"nostalgia for good old times is illustrated with easy-listening 1950s pop songs , while depression , paranoia and bad times find their expression in more neurotic rock songs of late 1960s and 1970s .",movie
12801,"every wednesday , jay ( rylance ) and claire ( fox ) meet in his cluttered , dank apartment for an hour or two of sexual release from their uninspired lives .",movie
26787,"it takes two hours for music of the heart to "" play carnegie hall , "" both figuratively and literally .",movie
20820,"as some good patriarch once observed , "" you can maintain control as long as everyone keeps their clothes on . """,movie
60645,"as in every mad slasher film we get the killers pov ( a scene where he spies on his neighbor while she undresses triggered unpleasant memories of slumber party massacre ) , and lots of scenes where people are unknowingly stalked .",movie
50158,"personally , i always wonder why people believe these oracles when they look so haggardly and on the brink of insanity .",movie
43518,"on one level , virus is almost passable fun .",movie
62524,"at least , if the film got the villain part right , it might have had some fun with this nonsense .",movie
53670,"if only the rest of this formless , aimless ensemble comedy assembled so coherently .",movie
21309,"starring sammo hung , sylvia chang ; directed by mabel cheung ; written by cheung and alex law ; cinematography by bill wong",movie
14172,was that what the terror !,movie
48508,"the general's daughter is , more often than not , a predictable and unexciting mess .",movie
10518,"invisible hands terrorize her family , flinging objects across rooms , shaking tables , rattling floorboards .",movie
48408,"the only cameo which has some appeal is a guest appearance by a classic 80s rocker during the film's finale ( surprisingly , one of the only plot-related scenes which actually works . )",movie
4104,"many of you may have hated him as batman , but this guy is for real .",movie
49830,"hopkins looks great in any role , and no matter how shallow or hollow it is , he will complete it .",movie
23402,"now even though through the course of the film , some much more depressing things happen , this is when i felt the most for ben .",movie
30022,"it seems like an odd choice for scorsese to do a period piece in the early 1900's , but the fact that he pulls it off so brilliantly is a wonder , and a testament to the greatness of scorsese as a filmmaker .",movie
10641,and kyle a lonely jew who talks to his poop .,movie
7403,"spoofs are made of famous gangster movies , including a nice parody of the godfather .",movie
46801,what they discover on the surface of the planet will dramatically change their lives forever ( although no one watching the film will come away profoundly affected ) .,movie
21085,"that is especially true for those who end up somewhere in that unexplored land between los angeles and new york where they find , to their big surprise , that the majority of people vote republican , go to church every sunday and usually don't tolerate liberal attitudes that are taken for granted in an average american film .",movie
2528,""" i didn't know what to expect .",movie
51007,i believe that friedklin is a director that is absolutely depended on great scripts and talented producers in order to succeed .,movie
14925,"as a narrative film , the cell is sorely lacking .",movie
3675,"my comment is that she is exceptionally fine strung in this movie , so much so that when she has a nervous break down , the veins on her temples bulge impressively .",movie
20682,the ability to perfect people has left humanity cold and generally unhappy .,movie
31526,emotion .,movie
16145,"i'm a fan of jackie chan in just about any medium , and this movie lets him not only do his impressive-as-ever martial arts schtick , but show off his comic timing as well .",movie
39951,"the black man is taller and burlier , and the aging scholar is bald , with wrinkles and a beard .",movie
41336,"although christopher has distanced himself from the finished film , he still must shoulder some of the blame for _54_'s lifelessness .",movie
50386,if you do end up going to see this movie be forewarned about its shortcomings .,movie
9613,"it's original ( though it has many ties to "" the twilight zone "" and owes some homage to hitchcock ) , and impressively eerie for a television show .",movie
15049,"watching this film , i wasn't sure if it was the most insightful film i had ever seen or the most vacuous .",movie
56303,"eventually though , the ancy youngster wins the game for his teammates , sparking his rise to fame in the football world - the endorsements , the music videos , etc . - and stone straps us in for the jolting ride of behind-the-scenes stress and fury that the business is apparently like .",movie
50712,citizen kane delivers more laughs a minute than his hell spawn piece of polyester .,movie
62209,walsh and lee garlington ) go out to a party .,movie
55475,"no , this man sets a terrible example for his kids and colleagues , and the writer of the film ( charlie peters ) didn't include a single scene in which krippendorf takes his kids aside and tells them that what he is doing is very bad .",movie
61156,thus the whole middle portion of the movie is reduced to the protagonist brooding .,movie
33345,wilson looked like she was simply mimicing some movements taught to her by the fight choreographer .,movie
2507,"sadly , though , the film is practically over when the film is in full steam .",movie
53019,predictability is a given .,movie
7245,"a series of unpleasant , often hilarious catastrophes leaves little choice but for both members of this unlikely odd couple to fall for each other .",movie
17477,"i love my son very much and that's what matters , and that's what makes life beautiful .",movie
35555,sherman himself is terribly insecure and never conveys anything for the audience to become attached to .,movie
63289,) that rule doesn't apply here .,movie
20413,"i say "" quite "" because some flaws do remain .",movie
27403,me . . . you,movie
8733,* * * * * perfection .,movie
56066,"the life of the flubber had brief and rather whimsical moments where it might have been used well , but it wasn't and in the end might have done the movie more harm than good .",movie
17687,"the movie belongs to the one-two punch of cage and scorsese , who were born to collaborate their efforts in an arrangement similar to `bringing out the dead' .",movie
62785,"then , everything ends happily .",movie
5849,"fortunately , these are inconsistencies which only attract attention as the credits roll .",movie
6721,who's to say how something works and how it doesn't when it's never happened ?,movie
6331,""" shall we dance "" will do that to you without any treacly aftertaste .",movie
59582,"but when the two of them were together , it looked like a mismatch .",movie
47193,"there are several scenes which seemed like a waste of time , the scene with his mother and her friends , which was hilarious , seemed pointless , and the scene with tom selleck in the bar with joan seemed pointless .",movie
6210,"a '58 chrysler , a radio announcement of sputnik ) but is never heavy handed .",movie
19095,how about a classic john denver song as a death signal for a change ?,movie
36008,"here , he plays a man who's just looking out for himself , and if that means he needs to kill in order to save his own skin , so be it .",movie
8200,boogie nights is an excellent film .,movie
41611,"teaching mrs . tingle , a black comedy that will leave a gaping void in his optimistic followers , may put an end to his reign .",movie
37081,the supporting characters are worse .,movie
27760,"blah , blah , blah . """,movie
46222,"i don't know how to explain that one ; it wasn't exactly choppy , but something about it seemed .",movie
29722,"tunney , displaying an acting range not hinted at in the teenage witch thriller the craft , delivers an astonishing performance that won her the best actress prize at last year's venice film festival .",movie
50516,"this is another one of those tiring , pointless teen slasher flicks : neither scary , funny , or interesting .",movie
49786,eddie murphy had to wait few more years for real comeback .,movie
41694,"it's based on a great book , ``the haunting of hill house , '' by shirley jackson .",movie
36368,"hart bochner ( die hard ) is particularly fun as kara's love interest , a lovesick landscaper who is under a spell cast by selena ( although he is unfortunately part of one of the film's more ridiculous moments , when he has to be rescued from being tapped by some "" menacing "" bumper cars ) .",movie
16763,"mostly dead silent , some quips are made , almost as if to lighten the mood .",movie
13102,"there's nothing graphic , and the film resides snugly inside a g rating .",movie
30389,the film is more concerned with visuals and history and less so with human beings .,movie
7316,"technically , the plot isn't unlike many children's sitcoms in which the "" good "" kid's "" bad "" friend gets the good kid in trouble and yet the good kid remains friends with the bad kid .",movie
23007,"beavis & butt-head , being the ignorant fools that they are , think that he is offering them $10 , 000 dollars to have sex with his good looking wife .",movie
42220,"chambers can't act ; suvari , roth and deneuve can , but aren't given the chance .",movie
57289,"rendered in wartime demotic , that should have been expressed as "" who is this little pecker that we have to get our dicks shot off for him ? """,movie
22613,"redford and thomas are strong and convincing as the couple drawn by a mutual affection for the great outdoors and each other , but it's scarlett johansson as grace who shines in a more difficult role .",movie
1981,"but then he runs into belone ( michel aumont ) , an elderly homosexual neighbor , who suggests a "" sex discrimination "" lawsuit to intimidate management .",movie
60426,"the central role of matty , a junkie film star whose lightning paced hollywood life among the beautiful people is inevitably leading to his destruction , is played by matthew modine ( who takes what he can get after cutthroat island ) .",movie
3746,that is what all the jurassic park films are .,movie
44106,"freeman is effective as always , though his performance nonetheless suffers because it seems at odds with where the movie wants to take it .",movie
22592,"meanwhile , the evil genius ( david warner ) is watching the group from fortress of ultimate darkness , attempting to find a way in order to bring the men , and the map , to him .",movie
26783,"feels the film can not be properly credited without such revelations , plot giveaways will appear in the following review .",movie
44317,"well , at least this is a little more realistic than mtv's "" the real world . """,movie
13336,"and here , the truth and honesty win out , and even one of the elders decides to stay rather than go to work for the corrupt opponent .",movie
55239,"theron is jill young : as a young girl in the wilds of africa , she befriended a baby gorilla after both their mothers were slain by poachers .",movie
49674,"the addition of the baby raptors ( ah , i meant godzillas ) , are nothing but a direct rip off of 'jurassic park "" , but with none of that film's suspense or tension .",movie
11505,"it just never did anything for me , until now .",movie
3493,"all of these events , thrown at you from minute one with roller coaster- like camera movements , at first become shocking , then inexplicably funny .",movie
508,maroon ( alan tilvern ) to try to help get roger's mind back on work .,movie
24748,that's what it is : an underrated gem of a movie .,movie
20161,"thankfully , it is watchable and harron and turner have made one of the most scathingly satirical films this side of south park : bigger , longer & uncut .",movie
55909,"he makes a deal to protect franklin if , in turn , franklin gives him an exclusive interview .",movie
63164,"there are lines in the script that are just begging to be mst3ked -- and i'm sure once mike and the 'bots get the cash , they'll stick it on their sked .",movie
21348,"we are introduced to blockbuster hits that are usually trashed by critics , loved by the people , and make tons of money at the box office .",movie
56530,"although guest gets the costumes right , this nearly-inconsequential success is no substitute for the weak script and unfunny execution .",movie
12382,"he visits and soon puts under his spell the respected blood physician dr . rochelle , whom he hypnotises into doing secret research on his behalf .",movie
53611,blink and you'll miss it .,movie
35371,"rounding out the impressive ensemble of young talent are shawn hatosy ( `the faculty' ) , selma blair ( `cruel intentions' ) and ashton kutcher ( tv's `that 70's shows' ) .",movie
17226,this is not a nice movie .,movie
64309,the writers tried to throw in some sort of plot twist ( should i call it a plot knot because it made no sense ? ) in which the sick guy's g-friend kisses the evil dude and suddenly everybody hates said evil dude and starts trying to kill him .,movie
4935,pearce's exley is cool and calculative in his actions and there is a slight hint of val kilmer in his appearance .,movie
58883,mufti spelenetik is still a steven seagal fan .,movie
49697,"then as another device in one of the stories , an actor seems to have the peculiar property that he has gone out of focus and can only be seen in blurry image .",movie
11717,they are who they are and they stay that way .,movie
55993,"but if you try to look at it as if it were a heist film , it is even worse .",movie
55270,i don't know if it's his judgment or the dearth of quality job offers that leads him to involve himself with bombs such as black dog .,movie
35354,ahh yes .,movie
32991,"after the first fifteen minutes , it quickly becomes apparent that it is not .",movie
50364,"this is where the movie has some great potential , then the three travelers get the island and there is a turn for the better , yes folks i said better .",movie
45713,"sandler plays a 31-year-old , somewhat mentally challenged , waterboy for a college football team .",movie
58408,but i have intelligent friends who like this movie and so that doesn't hold water .,movie
53401,"kattan plays the title character , the unsinkable assistant veterinarian corky who has a penchant for sunshiny '80s tunes , bright ties , and banal coffee mug slogans ( "" you don't have to be crazy to work here , but it sure helps . "" ) .",movie
16255,"the opening and final images of the film are the same , and who hasn't done a similar action , that is wandering about without any sense of reality or anything else but a deep sadness in us ?",movie
463,the fact that capone is evil is very apparent from the first few scenes .,movie
61098,and takes off to boston with kelley .,movie
21850,didn't millions of youngsters still go back to see the original star wars in 1977 over and over again ?,movie
46174,"you go , girl !",movie
37609,"but when barf is the highlight of a movie , you know the movie's in trouble .",movie
42536,"wayne wang's ( "" the joy luck club "" ) inept direction made a weak script even weaker by his inability to tell the story unfolding without the voiceover relating what the action couldn't convey .",movie
7001,indeed his return to the 'normal' world is accelerated by his chance meetings with two very special women .,movie
33711,"probably because she is the only refuge of restraint amidst all the huffing and puffing , allen's elizabeth comes out as the most sympathetic character .",movie
12767,"it's really hard to compare the two - they are so , so different - so i won't , beyond saying that spielberg's film had more of an impact on me .",movie
47447,did i miss something ?,movie
49266,"when they do this , it turns out she is paris' .",movie
18334,"unfortunately , the rest of the cast isn't as well-developed , and even though most of them are pretty appealing , a couple could've been left out to save time and at least one was left stranded plot-wise , by the film's end ( what happened to the guy in the caf ? who was spying on his ex-girlfriend the whole movie ? ) .",movie
26645,"the only hope was that the two innocent girls would not be permanently harmed while on this sojourn , a venture that should be reserved only for those of college age or older who choose to go there for themselves .",movie
27784,"when i saw the trailer for this film , i laughed harder than i had in quite some time .",movie
6853,"the jawas , or small creatures who sell droids , pick r2-d2 and c-3p0 up to sell .",movie
4751,"monica potter plays patch's love interest , a young woman who personifies the things that patch hates about medical school .",movie
21971,it won't be easy !,movie
4523,tobey maguire is well cast yet again as an inherently good man who is seeking answers to life's questions . . .,movie
9610,"there are , of course , little elements that the makers have included as payoff to the fans , but i'll keep those as surprises .",movie
48333,then some more die .,movie
8043,"there is a lot of mayhem and panic , all done very well by cameron .",movie
25334,"back at the police station , agent kay shows up to ask edwards a few questions .",movie
25311,watching these two work is what going to see movies is all about .,movie
29832,"best of all , the villains are still foreigners : fear of the other always plays best .",movie
16146,it would have worked better if he was the only name above the title .,movie
5738,"the only problem is , tretiak would like to have this for himself and use it to gain power amongst the people .",movie
41991,"when bartender mighty mack mcteer ( john goodman ) joins the group , the blues brothers band is complete , and once again , the group travels the country , crashing cars , blowing things up , and obstructing peace with more than just solid blues rock .",movie
37997,duchovny has stunningly little in the way of material to work with .,movie
12370,"bill pullman , when he's not spacing out , creates a vibrant character in daryl zero .",movie
38160,what makes it all the more remarkable is that i rarely remember a comedy making me so angry for wasting my time at it's ineptitude .,movie
37619,i say presumably simply because we never know what happened to them ; and it seems a tad strange that an entire town ( with the exception of some folk who get introduced along the way ) can vanish before the flood has actually started .,movie
63171,"when they discover that nixon ( another dead-on performance by dan hedaya , who actually favors nixon slightly , unlike anthony hopkins ) has been abusive to checkers , the presidential dog , thanks to the conversations that he always recorded , they quit and become disillusioned .",movie
14587,"larry flynt , the publisher of hustler magazine , thinks so , and obviously so too the u . s . congress which last month threw out a bill to curb pornography on the net .",movie
33119,"there are hints that this is taking its toll on his lovely wife , played by catherine keener , who is frustrated by her husband spending all of his time in cleveland rather than in their ugly split-level home in harrisburg , pa .",movie
4922,"together with director curtis hanson ( the hand that rocks the cradle , the river wild ) whom ellroy corroborated closely throughout the shooting of the film , resulted in a movie with a plot and and script so tight , an atom would have to squeeze itself through .",movie
36881,"eve's bio-rhythms go off the scale each time one of her kinfolk "" mates , "" which we are forced to witness in gross-out detail , but otherwise there doesn't appear to be a whole lot of reason why henstridge is in this film , unless it was written into her contract ( let's hope it cited one sequel and one sequel only ) .",movie
50519,"in fact watching films like that after having watched "" scary movie "" is impossible keeping a serious face .",movie
52559,"this , too , did not help the supposed humor i still know was shooting for .",movie
24507,"those print and television ads trumpeting that "" 'grease' is still the word "" are right on the money .",movie
10002,"one-upping niccol , it was when unlikely candidate-director peter weir took the helm that things fell into place .",movie
14140,it is the land of opportunities .,movie
50482,it is an * awful * movie .,movie
50846,"crystal and muresan give adequate and at times enjoyable performances , but in the end , `my giant' left me feeling like i'd been fed gruel from a giant spoon .",movie
54428,"dolly reed plays kelly , the leader of the band .",movie
7789,indeed .,movie
7770,"there's a hilarious locker room scene where they debate whether decapitated heads can talk , and what they would say .",movie
19208,"it's hilarious , and it's touching .",movie
26405,"the goal in the movie is not in literally landing the big kahuna , but in finding out what bill of goods they sold themselves that made them be salesmen .",movie
13138,- the person you have been thrown together with by chance becomes the most important person to you for the rest of your life .,movie
18996,"fortunately , there's no ridiculous singing characters here , just a great set of songs by phil collins that perfectly fit the mood .",movie
51184,there is simply too much going on in this movie and most of it is distasteful to watch .,movie
9537,the major aim of test flights is to determine ability of manned aircraft to reach 1 mach speed and thus break the sound barrier .,movie
55629,"by casting himself as the publicist , billy crystal allows himself to do roughly the same thing he does on "" comic relief "" - stay on the sidelines of the action while tossing off cornball jokes and snarky remarks .",movie
49847,"yup , you're talkin' pre-sold property here and , for warner brothers , the perfect fit into their now-ritual grumpy old men holiday slot .",movie
3790,i rate it a 7 on the 0 to 10 scale and a low +2 on the -4 to +4 scale .,movie
34579,"oh , and jam ( real name jeremiah ) has a really , really annoying ultra-religious mother who ought to be reported to the child welfare agency .",movie
29149,"with his new film , scott has returned cinema to the fascinating age of the ancient roman empire .",movie
43140,"ichabod crane ( johnny depp ) is now apparently a constable , who was sent to new york to investigate suspicious murders .",movie
10818,"she goes along with the masquerade and the three of them head out for a night of fun , abby assuming the role of a goat cheese farmer named donna .",movie
13147,"i mean , it's not very good , but it's not completely bad either .",movie
25176,"as spectacular as it sounds , the black cauldron really suffered a lot in its past times .",movie
17239,"he's been assigned to take down an old enemy , a terrorist named stavros ( mickey rourke , looking oddly subdued ) , who may be back up to his old tricks .",movie
3954,the premise centers around a combination of accidents and operation flaws .,movie
60802,"lame , labored , and lamentable , "" the princess diaries "" is recommended for eight-and-a-half year olds of the feminine persuasion * only * ; all others would do well to avoid it ( like potholes , the plague , and "" the perfect storm "" ) .",movie
56497,"one wonders what exactly she originally had in mind for this jumbled film , a comedy-drama that appears doomed at its most basic elements .",movie
14975,it's a man .,movie
33604,who cranked up the andrews sisters on the cd player and caused the swing to move on its own ?,movie
10646,"while in the movie , laughing at the movie , terrance and phillip cuss repeatedly entertaining the kids .",movie
3322,"in the opening scenes , he seems like a happy-go-lucky wedding singer , at least partially enjoying his profession and doing a rather good job of talking down a really drunk individual ( steve buscemi ) who decides that his brother's wedding is a good place to tell the whole world that his life , up to that point , was utter pointlessness .",movie
34627,"nineteen years and two mighty ducks later , the formula is still going strong .",movie
